date,miner,type,to_miner,address,value,pct_addrs,pct_value
5/1/2013 0:00,DeepBit,before,SAME,1353,3552.038019,0.541416567,0.904674504
5/1/2013 0:00,DeepBit,before,NEW,1029,326.0951503,0.411764706,0.083053719
5/1/2013 0:00,DeepBit,cross,SAME,2499,3926.316046,1,1
5/1/2013 0:00,DeepBit,cross,CROSS,485,154.7109817,0.194077631,0.039403599
5/1/2013 0:00,DeepBit,after,SAME,916,3415.390105,0.366546619,0.869871418
5/1/2013 0:00,DeepBit,after,DROPOUT,1365,463.7558718,0.546218487,0.118114759
6/1/2013 0:00,DeepBit,before,SAME,916,1934.403194,0.451453918,0.810881971
6/1/2013 0:00,DeepBit,before,NEW,964,415.1803149,0.475110892,0.174039328
6/1/2013 0:00,DeepBit,cross,SAME,2029,2385.554573,1,1
6/1/2013 0:00,DeepBit,cross,CROSS,380,111.7599608,0.187284377,0.046848629
6/1/2013 0:00,DeepBit,after,SAME,807,2001.535377,0.397732873,0.839023093
6/1/2013 0:00,DeepBit,after,DROPOUT,1037,324.1307384,0.511089207,0.13587228
7/1/2013 0:00,DeepBit,before,SAME,807,795.62091,0.523007129,0.702196196
7/1/2013 0:00,DeepBit,before,NEW,652,312.6713126,0.422553467,0.275956305
7/1/2013 0:00,DeepBit,cross,SAME,1543,1133.046455,1,1
7/1/2013 0:00,DeepBit,cross,CROSS,233,66.10212554,0.151004537,0.058340172
7/1/2013 0:00,DeepBit,after,SAME,324,642.0389036,0.209980557,0.56664835
7/1/2013 0:00,DeepBit,after,DROPOUT,1076,451.5039606,0.697342839,0.398486716
8/1/2013 0:00,DeepBit,before,SAME,324,323.5418251,0.537313433,0.690545439
8/1/2013 0:00,DeepBit,before,NEW,264,140.8238177,0.437810945,0.30056468
8/1/2013 0:00,DeepBit,cross,SAME,603,468.5308261,1,1
8/1/2013 0:00,DeepBit,cross,CROSS,92,97.62787114,0.152570481,0.20837022
8/1/2013 0:00,DeepBit,after,SAME,146,220.8855193,0.24212272,0.471442874
8/1/2013 0:00,DeepBit,after,DROPOUT,400,154.0755352,0.663349917,0.328848235
9/1/2013 0:00,DeepBit,before,SAME,146,163.3582909,0.449230769,0.700845192
9/1/2013 0:00,DeepBit,before,NEW,155,68.83861533,0.476923077,0.295333725
9/1/2013 0:00,DeepBit,cross,SAME,325,233.087553,1,1
9/1/2013 0:00,DeepBit,cross,CROSS,67,18.82718163,0.206153846,0.080773003
9/1/2013 0:00,DeepBit,after,SAME,82,155.3433601,0.252307692,0.666459268
9/1/2013 0:00,DeepBit,after,DROPOUT,199,69.13273002,0.612307692,0.296595546
10/1/2013 0:00,DeepBit,before,SAME,82,87.34896027,0.286713287,0.598102891
10/1/2013 0:00,DeepBit,before,NEW,166,54.83028763,0.58041958,0.375438396
10/1/2013 0:00,DeepBit,cross,SAME,286,146.0433675,1,1
10/1/2013 0:00,DeepBit,cross,CROSS,55,4.21088854,0.192307692,0.028833138
10/1/2013 0:00,DeepBit,after,BitFury,0,0,0,0
10/1/2013 0:00,DeepBit,after,SAME,3,82.98636564,0.01048951,0.568230979
10/1/2013 0:00,DeepBit,after,DROPOUT,231,60.0522379,0.807692308,0.411194558
11/1/2013 0:00,BitFury,before,DeepBit,0,0,0,0
11/1/2013 0:00,BitFury,before,NEW,3,28.68634717,1,1
11/1/2013 0:00,BitFury,cross,SAME,3,28.68634717,1,1
11/1/2013 0:00,BitFury,cross,DeepBit,0,0,0,0
11/1/2013 0:00,BitFury,cross,CROSS,1,3.63854004,0.333333333,0.126838737
11/1/2013 0:00,BitFury,after,DROPOUT,2,25.04780713,0.666666667,0.873161263
11/1/2013 0:00,DeepBit,before,SAME,3,29.45501662,0.176470588,0.588091861
11/1/2013 0:00,DeepBit,before,NEW,11,19.37822439,0.647058824,0.386901022
11/1/2013 0:00,DeepBit,cross,BitFury,0,0,0,0
11/1/2013 0:00,DeepBit,cross,SAME,17,50.08574101,1,1
11/1/2013 0:00,DeepBit,cross,CROSS,5,10.7925,0.294117647,0.21548049
11/1/2013 0:00,DeepBit,after,DROPOUT,12,39.28616981,0.705882353,0.784378328
2/1/2014 0:00,AntPool,before,NEW,657,904.4668212,0.897540984,0.917243889
2/1/2014 0:00,AntPool,cross,SAME,732,986.0701522,1,1
2/1/2014 0:00,AntPool,cross,CROSS,101,89.8275066,0.137978142,0.091096467
2/1/2014 0:00,AntPool,after,SAME,6,33.69721837,0.008196721,0.034173246
2/1/2014 0:00,AntPool,after,DROPOUT,592,867.3958445,0.808743169,0.879649224
3/1/2014 0:00,AntPool,before,SAME,6,14.34753106,0.016949153,0.007272962
3/1/2014 0:00,AntPool,before,NEW,336,1916.341125,0.949152542,0.971419809
